species,rep,days_to_dead
ACHHYM,1,11
ACHHYM,2,13
ACHHYM,3,11
ACHHYM,5,15
ACHHYM,6,11
ACHHYM,7,11
ACHHYM,9,12
ACHHYM,10,11
ACHMIL,1,11
ACHMIL,2,10
ACHMIL,3,11
ACHMIL,4,12
ACHMIL,5,10
ACHMIL,6,10
ACHMIL,7,11
ACHMIL,8,11
ACHMIL,9,11
ACHMIL,10,11
AGOGRA,1,12
AGOGRA,3,11
AGOGRA,4,11
AGOGRA,5,16
AGOGRA,6,17
AGOGRA,7,16
AGOGRA,8,17
AGOGRA,9,11
AGOGRA,10,11
AGRCRI,1,12
AGRCRI,2,17
AGRCRI,3,12
AGRCRI,4,21
AGRCRI,5,21
AGRCRI,6,21
AGRCRI,7,21
AGRCRI,8,13
AGRCRI,9,13
ARIPUR,1,15
ARIPUR,2,12
ARIPUR,3,12
ARIPUR,4,16
ARIPUR,5,11
ARIPUR,6,16
ARIPUR,7,12
ARIPUR,8,11
ARIPUR,9,11
ARIPUR,10,11
ARTTRI,1,11
ARTTRI,2,8
ARTTRI,3,9
ARTTRI,4,10
ARTTRI,5,10
ARTTRI,6,10
ARTTRI,7,11
ARTTRI,8,11
ARTTRI,9,12
ARTTRI,10,11
ASCTUB,1,15
ASCTUB,8,11
ASCTUB,9,11
ASCTUB,10,11
ATRCAN,1,10
ATRCAN,2,11
ATRCAN,3,17
ATRCAN,4,9
ATRCAN,5,10
ATRCAN,6,10
ATRCAN,8,9
ATRCAN,9,8
ATRCAN,10,8
BAIMUL,1,16
BAIMUL,2,12
BAIMUL,3,13
BAIMUL,4,10
BAIMUL,5,10
BAIMUL,7,9
BAIMUL,8,15
BAIMUL,9,11
BAIMUL,10,11
BALSAG,1,13
BALSAG,2,16
BALSAG,3,12
BALSAG,4,16
BALSAG,5,15
BALSAG,6,15
BALSAG,7,16
BALSAG,8,16
BALSAG,9,16
BALSAG,10,16
BOUCUR,1,15
BOUCUR,2,11
BOUCUR,3,11
BOUCUR,4,11
BOUCUR,5,13
BOUCUR,6,16
BOUCUR,7,11
BOUCUR,8,11
BOUCUR,9,11
BOUCUR,10,12
BOUERI,1,12
BOUERI,2,8
BOUERI,3,12
BOUERI,4,17
BOUERI,5,13
BOUERI,6,12
BOUERI,7,16
BOUERI,8,12
BOUERI,9,12
BOUERI,10,18
BOUGRA,1,11
BOUGRA,2,12
BOUGRA,3,11
BOUGRA,4,11
BOUGRA,5,11
BOUGRA,6,11
BOUGRA,7,11
BOUGRA,8,11
BOUGRA,9,11
BOUGRA,10,11
BROTEC,1,21
BROTEC,2,13
BROTEC,3,15
BROTEC,4,16
BROTEC,5,17
BROTEC,6,13
BROTEC,7,17
BROTEC,8,16
BROTEC,9,17
BROTEC,10,21
CHADOU,1,10
CHADOU,2,11
CHADOU,10,9
CLELUT,1,11
CLELUT,2,15
CLELUT,3,14
CLELUT,4,14
CLELUT,5,10
CLELUT,6,13
CLELUT,7,16
CLELUT,8,15
CLELUT,9,10
CLELUT,10,16
CLESER,1,12
CLESER,2,15
CLESER,3,16
CLESER,4,15
CLESER,5,16
CLESER,6,16
CLESER,8,15
CLESER,9,17
CLESER,10,14
CREACU,1,11
CREACU,2,11
CREACU,3,10
CREACU,4,14
CREACU,5,10
CREACU,6,15
CREACU,7,16
CREACU,8,16
CREACU,9,15
CREACU,10,16
CREINT,1,11
CREINT,2,11
CREINT,3,14
CREINT,4,14
CREINT,5,11
CREINT,6,11
CREINT,7,11
CREINT,8,14
CREINT,10,11
DALCAN,1,11
DALCAN,2,11
DALCAN,3,11
DALCAN,4,7
DALCAN,5,11
DALCAN,6,8
DALCAN,8,11
DALCAN,9,8
DALCAN,10,8
DALORN,1,12
DALORN,2,10
DALORN,3,13
DALORN,4,10
DALORN,5,12
DALORN,6,8
DALORN,7,12
DALORN,8,15
DALORN,9,11
DALORN,10,10
DALSEA,1,10
DALSEA,2,11
DALSEA,3,10
DALSEA,4,10
DALSEA,5,13
DALSEA,6,14
DALSEA,7,13
DALSEA,8,14
DALSEA,9,9
DALSEA,10,14
ELYELY,1,21
ELYELY,2,21
ELYELY,3,12
ELYELY,4,12
ELYELY,5,21
ELYELY,6,17
ELYELY,7,11
ELYELY,8,17
ELYELY,9,12
ELYELY,10,21
ELYTRA,1,12
ELYTRA,2,15
ELYTRA,3,12
ELYTRA,4,12
ELYTRA,5,21
ELYTRA,6,12
ELYTRA,7,21
ELYTRA,8,21
ELYTRA,9,16
ELYTRA,10,13
ERIPUM,1,10
ERIPUM,2,11
ERIPUM,3,10
ERIPUM,4,11
ERIPUM,5,10
ERIPUM,6,11
ERIPUM,7,7
ERIPUM,8,18
ERIPUM,9,11
ERIPUM,10,10
ERISPE,1,11
ERISPE,2,11
ERISPE,3,8
ERISPE,4,10
ERISPE,5,10
ERISPE,6,11
ERISPE,7,10
ERISPE,8,11
ERISPE,9,11
ERIUMB,1,13
ERIUMB,2,11
ERIUMB,3,11
ERIUMB,4,12
ERIUMB,5,10
ERIUMB,6,16
ERIUMB,7,16
ERIUMB,8,8
ERIUMB,9,17
ERIUMB,10,16
HEDBOR,1,17
HEDBOR,2,16
HEDBOR,3,15
HEDBOR,4,15
HEDBOR,5,16
HEDBOR,6,15
HEDBOR,7,16
HEDBOR,8,16
HEDBOR,9,15
HEDBOR,10,15
HELMUL,1,11
HELMUL,2,14
HELMUL,3,16
HELMUL,4,13
HELMUL,5,11
HELMUL,6,15
HELMUL,7,15
HELMUL,8,11
HELMUL,9,15
HELMUL,10,13
HESCOM,1,12
HESCOM,2,11
