species,rep,water_loss_wk1_g_per_day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ACHHYM,1,0.023419204,0.211389129,0.196501373,0.168426287,0.139416487,0.113498433,0.087220873,0.065257377,0.047454702,0.034943917,0.027753811,0.023152143,0.019916595,,,,,,,
ACHHYM,2,0.023921431,0.21108383,0.194203641,0.165457678,0.135449,0.108807562,0.083288537,0.06008449,0.043633813,0.032269379,0.025464749,0.021185549,0.018098913,0.014942126,0.012276394,,,,,
ACHHYM,3,0.023527038,0.20819209,0.190983969,0.160733333,0.129705862,0.101432627,0.077608545,0.058657345,0.043502825,0.032415254,0.025706215,0.021468927,0.018432203,,,,,,,
ACHMIL,1,0.023730597,0.230570902,0.218177974,0.184807956,0.158878085,0.129412302,0.103408766,0.082488103,0.064456722,0.051860037,0.044935543,0.040073665,0.036685083,,,,,,,
ACHMIL,2,0.022722428,0.233810803,0.227310788,0.196907073,0.172173306,0.144977589,0.119945404,0.095211638,0.074753805,0.058863026,0.050954939,0.045807222,,,,,,,,
ACHMIL,3,0.020490837,0.224831208,0.222261005,0.194979865,0.172124831,0.147769422,0.124539295,0.101459205,0.081395349,0.062865716,0.054163541,0.048537134,0.044861215,,,,,,,
AGOGRA,1,0.022938611,0.207301267,0.19809789,0.168152938,0.141664207,0.113519369,0.087822689,0.065294211,0.046730991,0.032402074,0.025489631,0.020521313,0.017209101,0.013824885,,,,,,
AGOGRA,2,0.020674877,0.204796911,0.199881718,0.171681948,0.148531559,0.124638613,0.101116945,0.078709111,0.06007277,0.04173164,0.033192248,0.027326056,,,,,,,,
AGOGRA,3,0.023163167,0.224646793,0.203705984,0.176481811,0.153843775,0.130022221,0.106274636,0.081935291,0.062504623,0.041645092,0.031955026,0.026037429,0.02219099,,,,,,,
AGRCRI,1,0.02189629,0.207670993,0.196185103,0.169218317,0.145022422,0.122066137,0.098672342,0.074038938,0.054396967,0.04017792,0.032229838,0.027271401,0.023917165,0.020562928,,,,,,
AGRCRI,2,0.02322457,0.21302034,0.200544857,0.171345221,0.1458636,0.121621317,0.098035153,0.070876781,0.050448349,0.036013706,0.027994459,0.022745498,0.019173289,0.015673981,0.012684989,0.009914704,0.007727637,0.006050886,0.004665743,
AGRCRI,3,0.022766368,0.209342812,0.194726171,0.16522269,0.140143987,0.116008269,0.092525388,0.068317133,0.049978239,0.036341216,0.029160017,0.024445089,0.021108371,0.01784419,,,,,,
ARIPUR,1,0.0237318,0.209503083,0.197132216,0.166212898,0.139573594,0.11264412,0.087165499,0.060090939,0.043380486,0.031483497,0.024519405,0.01994922,0.016829888,0.01385564,0.010881393,0.008197316,0.006311208,,,
ARIPUR,2,0.025053613,0.217595266,0.200435746,0.166535046,0.13775848,0.108548889,0.08121574,0.056985941,0.042219977,0.030889145,0.024177252,0.019919169,0.01681582,0.013928984,,,,,,
ARIPUR,3,0.022857558,0.199985487,0.19199532,0.161243741,0.134918547,0.108956172,0.083429178,0.057974748,0.039982585,0.025832668,0.018140919,0.013351716,0.010013787,0.006748422,0.003628184,,,,,
ARTTRI,1,0.021534957,0.211824883,0.205191876,0.176004092,0.153511058,0.130792357,0.107847992,0.082195637,0.061080187,0.04543403,0.037159621,0.031818866,0.027982549,,,,,,,
ARTTRI,2,0.023934235,0.21037526,0.192271206,0.158873674,0.132723039,0.106644156,0.080852278,0.056710684,0.042835617,0.032646911,,,,,,,,,,
ARTTRI,3,0.023267107,0.213712302,0.198568265,0.166569986,0.142671802,0.11855665,0.095237043,0.069675447,0.050842554,0.038403124,,,,,,,,,,
ASCTUB,1,0.019480519,0.205624163,0.202730568,0.179579408,0.157395365,0.134467386,0.113920004,0.087644309,0.069260527,0.046198482,0.034890641,0.02841839,0.024252343,0.020383871,0.016738581,0.013688439,0.011382235,,,
ASCTUB,2,0.021146039,0.208764191,0.201947935,0.177122279,0.152730494,0.127904838,0.105610095,0.079338202,0.060741919,0.039916118,0.030443271,0.02480295,0.020970424,,,,,,,
ASCTUB,3,0.022158805,0.214747356,0.20485202,0.179202761,0.153773832,0.128124574,0.105339593,0.078882462,0.059635723,0.039585781,0.030552291,0.025044066,0.021445358,,,,,,,
ATRCAN,1,0.023974951,0.211088031,0.196490022,0.163889807,0.134942626,0.10427637,0.077119891,0.058845298,0.043263377,0.031373111,0.024998209,0.020199126,0.018623308,,,,,,,
ATRCAN,2,0.021301701,0.21109568,0.210797084,0.181318266,0.15688294,0.131278108,0.106038747,0.080945574,0.061983773,0.042979314,0.034061838,0.02799503,0.02404795,,,,,,,
ATRCAN,3,0.022615136,0.218327857,0.213598087,0.182565783,0.15708295,0.13006671,0.103415568,0.079320102,0.060021906,0.041109894,0.032420591,0.026433005,0.022635999,0.01905805,0.015845199,0.01241329,0.010441767,0.008397225,0.007009858,
BAIMUL,1,0.022273697,0.216667847,0.206372782,0.179942958,0.15400878,0.127791376,0.104052199,0.079038505,0.060751965,0.04028889,0.030800821,0.025277915,0.021454365,0.017984847,0.014444523,0.011612264,0.009558876,0.007363875,,
BAIMUL,2,0.022976249,0.212731498,0.200408049,0.172160101,0.144123407,0.116016295,0.091148391,0.069942201,0.051897754,0.03661714,0.028730371,0.023871558,0.020421097,0.017181889,,,,,,
BAIMUL,3,0.021829414,0.212105872,0.205954664,0.180465201,0.15345708,0.126882861,0.103418275,0.077639543,0.059299971,0.040063639,0.030734741,0.025238646,0.02147816,0.017789991,0.014101822,,,,,
BALSAG,1,0.023685516,0.207826968,0.186420493,0.155554919,0.125774414,0.093751432,0.072217455,0.056470515,0.042028356,0.030960648,0.024377894,0.019965278,0.016927083,0.013744213,0.010923032,,,,,
BALSAG,2,0.023389709,0.208780137,0.187738813,0.159242778,0.131394458,0.101890867,0.079080331,0.06166742,0.045052177,0.033033465,0.025980569,0.021374595,0.01813602,0.014753508,0.011442965,0.008780137,0.006765023,0.004965815,,
BALSAG,3,0.023567358,0.205006131,0.178536356,0.147001082,0.116980632,0.085228955,0.066894287,0.05180567,0.040034625,0.030296473,0.024453581,0.020414052,0.017456539,0.014282623,,,,,,
BOUCUR,1,0.022669407,0.201488798,0.179692313,0.149667339,0.127873703,0.101427571,0.077200322,0.055549839,0.042802949,0.032567461,0.026268699,0.021687782,0.018681555,0.01538902,,0.00994918,0.00815976,,,
BOUCUR,2,0.022068444,0.200844305,0.183405753,0.155679908,0.134536777,0.109386777,0.085453148,0.061161763,0.046365197,0.035060103,0.028548941,0.02382656,0.020821408,,,,,,,
BOUCUR,3,0.020948737,0.1985873,0.187641829,0.160902421,0.139754948,0.114339946,0.090911552,0.067188846,0.051946141,0.039879332,0.032889412,0.028033257,0.024942977,,,,,,,
BOUERI,1,0.022086973,0.202097852,0.178344242,0.153274517,0.129426144,0.102416625,0.081010956,0.063413033,0.047489044,0.036065809,0.029887205,0.025361017,0.022487248,0.019326101,,,,,,
BOUERI,2,0.022258991,0.20731352,0.187350022,0.162257634,0.138622123,0.112728453,0.090768349,0.069973747,0.051500583,0.037951632,,,,,,,,,,
BOUERI,3,0.021948569,0.203114813,0.185538558,0.161004737,0.137267729,0.111357595,0.089214212,0.06765033,0.049474828,0.036218761,0.029337197,0.024411445,0.021369069,0.018181818,,,,,,
BOUGRA,1,0.022615961,0.202895419,0.186428472,0.157922731,0.132153954,0.106529228,0.08169678,0.060465601,0.044583693,0.033059637,0.026649381,0.021967733,0.018798617,,,,,,,
BOUGRA,2,0.021818483,0.204050523,0.188627679,0.162265912,0.139678825,0.115785119,0.092399543,0.070393177,0.051321138,0.037020906,0.029907085,0.024970964,0.021559233,0.018292683,,,,,,
BOUGRA,3,0.021142605,0.202973212,0.19068261,0.165931292,0.14397656,0.120329158,0.097712077,0.074138269,0.054974978,0.038857816,0.030909626,0.025758022,0.022151899,,,,,,,
BROTEC,1,0.022681436,0.222780693,0.211464351,0.178273161,0.15328657,0.127265164,0.1043482,0.081579067,0.064010644,0.050631976,0.043388277,0.038435952,0.035257595,0.031931407,0.029344371,0.02653559,0.024761623,0.023283317,0.022174588,0.021139774
BROTEC,2,0.023262534,0.21514232,0.198078695,0.162516573,0.135262498,0.108080668,0.086172641,0.066142956,0.05230458,0.042262679,0.036627655,0.032581997,0.029764485,0.026441266,0.023984973,,,,,
BROTEC,3,0.023454158,0.22475856,0.210767106,0.176259175,0.150604039,0.124217267,0.100830202,0.0783211,0.060579456,0.048507463,0.042361721,0.038045069,0.035118525,0.031899327,0.029192274,0.026412057,0.024582968,,,
CHADOU,1,0.023804382,0.210753617,0.193071813,0.159846081,0.131011049,0.098577082,0.072549219,0.056886288,0.04412294,0.034117901,0.028431584,0.024112863,,,,,,,,
CHADOU,2,0.023861852,0.217289377,0.202322205,0.171341304,0.143510586,0.114068147,0.086530469,0.0681503,0.05025641,0.036190476,0.028791209,0.023443223,0.01992674,,,,,,,
CHADOU,3,0.024093786,0.214758343,0.198204308,0.166935386,0.138039881,0.109360141,0.082622289,0.062645081,0.046101841,0.033875144,0.027042578,0.021864212,0.01848389,,,,,,,
CLELUT,1,0.021528079,0.194752846,0.175303663,0.145521307,0.123871332,0.098685539,0.075126222,0.055385588,0.04405629,0.034297433,0.028569408,0.024397143,0.021568489,,,,,,,
CLELUT,2,0.023116108,0.202585595,0.177473235,0.148250717,0.125989416,0.100389572,0.075926254,0.053878051,0.040772837,0.029833783,0.02344083,0.019036795,0.016266515,0.013283137,0.010796988,0.008452905,0.006961216,,,
CLELUT,3,0.022852976,0.212613926,0.1949579,0.167953686,0.146563762,0.122184411,0.098534189,0.072477842,0.052643092,0.036748086,0.028654758,0.023259205,0.019978126,0.016478308,0.013853445,0.011374408,,,,
CLESER,1,0.023371868,0.236689857,0.225941977,0.194618059,0.170397766,0.142662278,0.118734918,0.092903493,0.073086781,0.054998169,0.047235445,0.042255584,0.038886855,0.035225192,,,,,,
CLESER,2,0.022910165,0.232118068,0.223437137,0.191432513,0.166807153,0.13918625,0.11565682,0.091615957,0.071746913,0.054212026,0.046394389,0.041060861,0.037773069,0.033973844,0.031489735,0.028859502,0.027179075,,,
CLESER,3,0.022863981,0.232592925,0.220504016,0.188231366,0.163811532,0.136100995,0.112055104,0.091299918,0.07254506,0.055194077,0.047565627,0.042629571,0.039264079,0.035300277,0.032383517,0.029765911,0.028045771,0.026549996,,
CREACU,1,0.024672313,0.216335701,0.199286252,0.169095637,0.137817908,0.107989665,0.080770496,0.060943702,0.043629512,0.031453834,0.024351355,0.019785476,0.016669082,,,,,,,
CREACU,2,0.02171056,0.208330315,0.202245266,0.177653256,0.151395183,0.12658586,0.105615726,0.079937153,0.056356393,0.039913075,0.03129301,0.025932633,0.022383194,,,,,,,
CREACU,3,0.022022929,0.204819277,0.195739484,0.16971493,0.142140316,0.116186219,0.094530015,0.071746495,0.050658775,0.036426407,0.028464736,0.023391813,,,,,,,,
CREINT,1,0.022323726,0.20154355,0.18949875,0.159041823,0.130495957,0.103787652,0.07906391,0.060293863,0.045277472,0.033958104,0.027416391,0.022859243,0.01969864,,,,,,,
CREINT,2,0.021955396,0.203103169,0.192251511,0.16350161,0.138649055,0.112619943,0.087473248,0.066370968,0.049415398,0.036840944,0.029634532,0.024781234,0.021545702,,,,,,,
CREINT,3,0.022172104,0.198817762,0.184495336,0.154788524,0.129839497,0.102799928,0.077922989,0.058308449,0.043613033,0.032799885,0.026528258,0.022202999,0.019175317,0.016147636,0.013480392,0.011029412,,,,
DALCAN,1,0.023337586,0.214477601,0.205226915,0.172891483,0.143387679,0.112867393,0.086122609,0.06765489,0.051114499,0.037755028,0.030639657,0.025412038,0.021926959,,,,,,,
DALCAN,2,0.023258925,0.21475398,0.207127044,0.174682228,0.147928643,0.11886975,0.091900043,0.069396873,0.051941503,0.037317196,0.029824941,0.02427779,0.020747785,,,,,,,
DALCAN,3,0.021344453,0.210317174,0.207508887,0.17872726,0.154786323,0.128461166,0.103147497,0.078917564,0.060906004,0.040892999,0.031645112,0.025648436,0.021746984,,,,,,,
DALORN,1,0.023675878,0.21509787,0.196164407,0.165445366,0.142714234,0.115737277,0.090775288,0.06653293,0.049366724,0.037132988,0.029864709,0.024827288,0.021732873,0.018422568,,,,,,
DALORN,2,0.023240015,0.211299595,0.193948151,0.164185109,0.141377848,0.114028036,0.089233409,0.06422585,0.04861949,0.037476045,0.031088083,0.0263326,,,,,,,,
DALORN,3,0.021451324,0.209497,0.198882273,0.172425098,0.151523891,0.12773358,0.1056471,0.079412164,0.059337729,0.043706941,0.03548411,0.030076302,0.026742722,0.022964664,0.020149641,,,,,
DALSEA,1,0.023380586,0.208629958,0.194563403,0.165601511,0.138600973,0.111818364,0.085108398,0.060287142,0.044965858,0.034505303,0.028258027,0.023245678,,,,,,,,
DALSEA,2,0.023087393,0.210778966,0.197294683,0.167708255,0.14190392,0.115299527,0.088549669,0.064127253,0.049167212,0.0377482,0.031056804,0.026547385,0.023419885,,,,,,,
DALSEA,3,0.023112449,0.204358881,0.186584308,0.156264729,0.130086088,0.102527134,0.075258772,0.055182564,0.04257174,0.032618961,0.02680712,0.022302942,,,,,,,,
ELYELY,1,0.023013051,0.207314418,0.201308969,0.170609332,0.142884805,0.11182235,0.085113715,0.063121718,0.046223061,0.033161599,0.025905232,0.020462956,0.016907336,0.013641971,0.010594296,0.00769175,0.005877658,0.00435382,0.003120238,0.00217691
ELYELY,2,0.022435662,0.211305814,0.204255913,0.17507348,0.15007024,0.123014063,0.09727763,0.073374177,0.054256177,0.037392771,0.029474302,0.023902046,0.020236088,0.016863406,0.013784002,0.010851235,0.008871618,0.007111958,0.005498937,0.004399149
ELYELY,3,0.023708163,0.218341872,0.205859571,0.175537514,0.149039685,0.121026596,0.094384458,0.070989307,0.052384732,0.036438415,0.029078577,0.023811242,0.020419944,0.017100801,,,,,,
ELYTRA,1,0.023482513,0.212484558,0.197149037,0.168821975,0.141003597,0.115292624,0.088927629,0.066704774,0.048106969,0.035026524,0.027977618,0.023326793,0.020129351,0.01685924,,,,,,
ELYTRA,2,0.023280576,0.212895289,0.198971684,0.171387626,0.144527209,0.119982444,0.095871865,0.069735089,0.049931254,0.035820247,0.027787828,0.022867067,0.019393589,0.016064838,0.01295318,0.010348071,0.007960055,,,
ELYTRA,3,0.02351762,0.2134505,0.195820566,0.165810502,0.137430373,0.110538445,0.085985118,0.063770392,0.048827156,0.038693218,0.032882149,0.02898448,0.026078946,0.023102544,,,,,,
ERIPUM,1,0.024358467,0.216109733,0.19886206,0.16431951,0.136854151,0.107199971,0.081485671,0.062264877,0.045600467,0.033561944,0.026630673,0.021961185,,,,,,,,
ERIPUM,2,0.023418523,0.213413748,0.203986753,0.172929342,0.146377089,0.118298896,0.092037298,0.068536928,0.049484087,0.035387298,0.027975585,0.022307804,0.018601947,,,,,,,
ERIPUM,3,0.024554528,0.216745249,0.200806237,0.169210859,0.141330297,0.111735205,0.084211837,0.061903501,0.044863552,0.03271896,0.026003715,0.021645949,,,,,,,,
