pot_id,species,freeze_temp,pot,replicate,development_category,survival
ACHHYM-2-1,ACHHYM,-2,1,1,normal,1
ACHHYM-2-1,ACHHYM,-2,1,2,normal,1
ACHHYM-2-1,ACHHYM,-2,1,3,normal,1
ACHHYM-2-2,ACHHYM,-2,2,1,normal,1
ACHHYM-2-2,ACHHYM,-2,2,2,leaf not exposed,0
ACHHYM-2-2,ACHHYM,-2,2,3,small size,1
ACHHYM-2-3,ACHHYM,-2,3,1,normal,1
ACHHYM-2-3,ACHHYM,-2,3,2,normal,1
ACHHYM-2-3,ACHHYM,-2,3,3,normal,1
ACHHYM-2-4,ACHHYM,-2,4,1,small size,1
ACHHYM-2-4,ACHHYM,-2,4,2,leaf not exposed,0
ACHHYM-2-4,ACHHYM,-2,4,3,normal,1
ACHHYM-4-1,ACHHYM,-4,1,1,leaf not exposed,1
ACHHYM-4-1,ACHHYM,-4,1,2,normal,0
ACHHYM-4-1,ACHHYM,-4,1,3,small size,0
ACHHYM-4-2,ACHHYM,-4,2,1,normal,1
ACHHYM-4-2,ACHHYM,-4,2,3,small size,1
ACHHYM-4-3,ACHHYM,-4,3,1,normal,1
ACHHYM-4-3,ACHHYM,-4,3,2,normal,1
ACHHYM-4-3,ACHHYM,-4,3,3,normal,1
ACHHYM-4-4,ACHHYM,-4,4,1,normal,1
ACHHYM-4-4,ACHHYM,-4,4,2,leaf not exposed,1
ACHHYM-4-4,ACHHYM,-4,4,3,leaf not exposed,1
ACHHYM-6-1,ACHHYM,-6,1,1,normal,0
ACHHYM-6-2,ACHHYM,-6,2,1,normal,0
ACHHYM-6-2,ACHHYM,-6,2,2,leaf not exposed,0
ACHHYM-6-2,ACHHYM,-6,2,3,normal,0
ACHHYM-6-3,ACHHYM,-6,3,2,normal,0
ACHHYM-6-3,ACHHYM,-6,3,3,normal,1
ACHHYM-6-4,ACHHYM,-6,4,1,normal,0
ACHHYM-6-4,ACHHYM,-6,4,2,normal,1
ACHHYM-6-4,ACHHYM,-6,4,3,normal,1
ACHHYM-8-1,ACHHYM,-8,1,1,normal,0
ACHHYM-8-1,ACHHYM,-8,1,2,normal,0
ACHHYM-8-1,ACHHYM,-8,1,3,normal,0
ACHHYM-8-2,ACHHYM,-8,2,1,normal,0
ACHHYM-8-2,ACHHYM,-8,2,2,normal,0
ACHHYM-8-2,ACHHYM,-8,2,3,normal,0
ACHHYM-8-3,ACHHYM,-8,3,1,small size,0
ACHHYM-8-3,ACHHYM,-8,3,2,small size,0
ACHHYM-8-3,ACHHYM,-8,3,3,leaf not exposed,0
ACHHYM-8-4,ACHHYM,-8,4,1,leaf not exposed,0
ACHHYM-8-4,ACHHYM,-8,4,2,normal,0
ACHHYM-8-4,ACHHYM,-8,4,3,small size,0
ACHMIL-2-1,ACHMIL,-2,1,1,true leaves,1
ACHMIL-2-1,ACHMIL,-2,1,2,true leaves,1
ACHMIL-2-1,ACHMIL,-2,1,3,true leaves,1
ACHMIL-2-2,ACHMIL,-2,2,1,normal,1
ACHMIL-2-2,ACHMIL,-2,2,2,normal,1
ACHMIL-2-2,ACHMIL,-2,2,3,normal,1
ACHMIL-2-3,ACHMIL,-2,3,1,normal,1
ACHMIL-2-3,ACHMIL,-2,3,2,normal,1
ACHMIL-2-3,ACHMIL,-2,3,3,normal,1
ACHMIL-2-4,ACHMIL,-2,4,1,normal,1
ACHMIL-2-4,ACHMIL,-2,4,2,normal,1
ACHMIL-2-4,ACHMIL,-2,4,3,normal,1
ACHMIL-4-1,ACHMIL,-4,1,1,normal,1
ACHMIL-4-1,ACHMIL,-4,1,2,normal,1
ACHMIL-4-1,ACHMIL,-4,1,3,normal,1
ACHMIL-4-2,ACHMIL,-4,2,1,normal,1
ACHMIL-4-2,ACHMIL,-4,2,2,normal,1
ACHMIL-4-2,ACHMIL,-4,2,3,normal,1
ACHMIL-4-3,ACHMIL,-4,3,1,normal,1
ACHMIL-4-3,ACHMIL,-4,3,2,normal,1
ACHMIL-4-3,ACHMIL,-4,3,3,normal,1
ACHMIL-4-4,ACHMIL,-4,4,1,true leaves,1
ACHMIL-4-4,ACHMIL,-4,4,2,true leaves,1
ACHMIL-4-4,ACHMIL,-4,4,3,true leaves,1
ACHMIL-6-1,ACHMIL,-6,1,1,true leaves,1
ACHMIL-6-1,ACHMIL,-6,1,2,true leaves,1
ACHMIL-6-1,ACHMIL,-6,1,3,true leaves,0
ACHMIL-6-2,ACHMIL,-6,2,1,normal,1
ACHMIL-6-2,ACHMIL,-6,2,2,normal,0
ACHMIL-6-2,ACHMIL,-6,2,3,normal,1
ACHMIL-6-3,ACHMIL,-6,3,1,normal,1
ACHMIL-6-3,ACHMIL,-6,3,2,normal,1
ACHMIL-6-3,ACHMIL,-6,3,3,normal,1
ACHMIL-6-4,ACHMIL,-6,4,1,normal,1
ACHMIL-6-4,ACHMIL,-6,4,2,normal,1
ACHMIL-6-4,ACHMIL,-6,4,3,normal,1
ACHMIL-8-1,ACHMIL,-8,1,1,normal,0
ACHMIL-8-1,ACHMIL,-8,1,2,normal,0
ACHMIL-8-1,ACHMIL,-8,1,3,normal,0
