species_name,clim_n,MAT05,MAP05,MAT50,MAP50,MAT95,MAP95
Achillea millefolium,1135,-10,304,58,556,116,1521
Achnatherum hymenoides,2407,29,152,87,314,168,565
Agoseris grandiflora,1201,51,336,124,659,153,1574
Agropyron cristatum,2964,34,232,78,388.5,106,635
Aristida purpurea,2517,71,170,159,395,213,863
Artemisia tridentata subsp. wyomingensis,597,21,208,70,321,111,513
Asclepias tuberosa,20507,67,685,115,1053,196,1435
Atriplex canescens,6407,68,103,134,277,219,482
Baileya multiradiata,2751,125,126,170,263,214,466
Balsamorhiza sagittata,4678,13,268,61,458,103,879
Bouteloua curtipendula,6913,65,281,129,671,199,1044
Bouteloua eriopoda,838,96,196,140,319.5,176,500
Bouteloua gracilis,4571,44,247,92,408,159,752
Bromus tectorum,563,75,186,126,535,185,1143
Chaenactis douglasii,3743,-19,222,60,422,109,1172
Cleome lutea,1063,61,143,106,227,155,382
Cleome serrulata,2937,36,225,85,366,128,570
Crepis acuminata,1585,13,248,57,408,97,1030
Crepis intermedia,528,15,214,66,425,108,1057
Dalea candida,3529,53,279,99,589,170,1308
Dalea ornata,238,69,191,102,258.5,122,428
Dalea searlsiae,388,69,160,99,288,155,425
Elymus elymoides,5412,3,213,74,448,154,1260
Elymus trachycaulus,1528,-10,279,58,572,116,1064
Erigeron pumilus,1902,26,224,71,364,113,603
Erigeron speciosus,2623,-7,346,40,524,102,810
Eriogonum umbellatum,8327,-1,262,55,507,114,1341
Hedysarum boreale,1066,8,220,75,371,115,649
Heliomeris multiflora,2004,6,227,67,464,141,711
Hesperostipa comata,2731,26,199,78,357,127,601
Krascheninnikovia lanata,3677,45,137,106,280,169,461
Leymus cinereus,2308,29,203,74,328,119,552
Leymus triticoides,1451,45,192,113,385,174,775
Linum lewisii,4478,2,259,67,453.5,148,1013
Lomatium dissectum,997,25,247,86,591,129,1736
Lomatium macrocarpum,1973,39,213,85,483,145,1527
Lupinus argenteus,4868,-5,261,56,454,112,762
Machaeranthera canescens,801,15,212,70,371,154,700
Pascopyrum smithii,1352,32,250,85,433,142,874
Penstemon palmeri,1830,55,159,106.5,314,170,578
Phacelia hastata,3518,-11,250,52,503,111,1473
Pleuraphis jamesii,336,66,152,111,264.5,153,429
Poa secunda,8463,-9,215,71,447,160,1264
Pseudoroegneria spicata,3269,15,231,66,380,113,784
Senna covesii,1231,136,144,200,314,215,504
Sphaeralcea grossulariifolia,774,65,153,101,249,160,439
Sphaeralcea munroana,798,36,187,90,289.5,119,455
Sporobolus airoides,1514,61,118,123,288,202,583
Sporobolus cryptandrus,3201,53,199,111,424,187,955
