"","species","days_to_dead_mean","days_to_dead_sd","days_to_dead_n","water_loss_wk1_g_per_day","mean_soil_moisture_at_death","ln_days_to_dead"
"1","ACHHYM",11.875,1.45773797371133,8,0.0236225576666667,0.015426348,2.47443534992071
"2","ACHMIL",10.8,0.632455532033676,10,0.0223146206666667,0.041579721,2.37954613413017
"3","AGOGRA",13.5555555555556,2.83333333333333,9,0.022258885,0.004685746,2.60679646739704
"4","AGRCRI",16.7777777777778,4.26549463068991,9,0.022629076,0.004973553,2.82005525947871
"5","ARIPUR",12.7,2.11081869319834,10,0.0238809903333333,0.008531657,2.54160199346455
"6","ARTTRI",10.3,1.15950180872841,10,0.0229120996666667,0.030667971,2.33214389523559
"7","ASCTUB",12,2,4,0.0209284543333333,0.020383871,2.484906649788
"8","ATRCAN",10.2222222222222,2.72845092395748,9,0.022630596,0.024185357,2.32456399971282
"9","BAIMUL",11.8888888888889,2.36877840059198,9,0.0223597866666667,0.018037313,2.47560425712569
"10","BALSAG",15.1,1.44913767461894,10,0.0235475276666667,0.006585102,2.71469474382088
"11","BOUCUR",12.2,1.87379590967403,10,0.0218955293333333,0.01538902,2.50143595173921
"12","BOUERI",13.2,2.97396106975939,10,0.0220981776666667,0.014944921,2.58021682959233
"13","BOUGRA",11.1,0.316227766016838,10,0.0218590163333333,0.020582193,2.40694510831829
"14","BROTEC",16.6,2.75680975041804,10,0.0231327093333333,0.02261808,2.8094026953625
"15","CHADOU",10,1,3,0.0239200066666667,0.023140099,2.30258509299405
"16","CLELUT",13.4,2.31900361745681,10,0.0224990543333333,0.011360593,2.59525470695687
"17","CLESER",15.1111111111111,1.45296631451356,9,0.0230486713333333,0.027494376,2.71543030839983
"18","CREACU",13.4,2.59058123036339,10,0.022801934,0.011100932,2.59525470695687
"19","CREINT",12,1.5,9,0.0221504086666667,0.016147636,2.484906649788
"20","DALCAN",9.55555555555556,1.74005108481842,9,0.022646988,0.027597413,2.25712271891729
"21","DALORN",11.3,1.94650684275419,10,0.0227890723333333,0.023174543,2.42480272571829
"22","DALSEA",11.8,1.98885785202351,10,0.023193476,0.023419885,2.46809953147162
"23","ELYELY",16.5,4.37797517885457,10,0.023052292,0.005021238,2.80336038090653
"24","ELYTRA",15.5,4.0345728123034,10,0.023426903,0.007960055,2.7408400239252
"25","ERIPUM",10.9,2.76686746259295,10,0.024110506,0.018938917,2.3887627892351
"26","ERISPE",10.3333333333333,1,9,0.0221421726666667,0.023932805,2.33537491581704
"27","ERIUMB",13,3.09120616516523,10,0.021723377,0.015769877,2.56494935746154
"28","HEDBOR",15.6,0.699205898780101,10,0.0233219286666667,0.006696811,2.74727091425549
"29","HELMUL",13.4,1.89736659610103,10,0.0215370163333333,0.014961267,2.59525470695687
"30","HESCOM",13.2,2.65832027165025,10,0.023481497,0.012467741,2.58021682959233
"31","KRALAN",12.2222222222222,2.16666666666667,9,0.0236369056666667,0.037762592,2.5032557884562
"32","LEYCIN",16.9,2.46981780704569,10,0.0216995003333333,0.006261333,2.82731362192903
"33","LEYTRI",12.25,0.707106781186548,8,0.022367069,0.016021606,2.50552593699074
"34","LINLEW",13.7,3.05686840482943,10,0.02322853,0.01401164,2.61739583283408
"35","LOMDIS",9.75,1.5,4,0.022544691,0.024057853,2.27726728500976
"36","LOMMAC",12,2.0976176963403,6,0.02220816,0.017956359,2.484906649788
"37","LUPARG",12.7777777777778,1.20185042515466,9,0.022724909,0.01043656,2.54770755102703
"38","MACCAN",12.2222222222222,2.99072640748773,9,0.0225544803333333,0.015943507,2.5032557884562
"39","PASSMI",15.2222222222222,3.2702361450581,9,0.022456556,0.010867903,2.72275634849191
"40","PENPAL",10,0.816496580927726,4,0.0230894963333333,0.013902524,2.30258509299405
"41","PHAHAS",15.1,1.91195071996,10,0.0233519166666667,0.005449201,2.71469474382088
"42","PLEJAM",15.2,3.8528488738133,10,0.021732804,0.026051757,2.72129542785223
"43","POASEC",12.2,2.14993539954628,10,0.023038377,0.018735342,2.50143595173921
"44","PSESPI",14.375,4.13823633931171,8,0.0223060166666667,0.013868275,2.66549058668341
"45","SENCOV",12.9,2.55821118057999,10,0.0239684986666667,0.011246924,2.55722731136763
"46","SPHGRO",10,0.866025403784439,9,0.0235213153333333,0.022245618,2.30258509299405
"47","SPHMUN",10.5714285714286,0.786795792469443,7,0.023125739,0.023846328,2.35815494414886
"48","SPOAIR",11.2222222222222,0.440958551844098,9,0.023964426,0.018386095,2.41789593950504
"49","SPOCRY",10.3333333333333,1.03279555898864,6,0.021863579,0.006646538,2.33537491581704
