species_name
Achillea millefolium occidentalis
Achnatherum hymenoides
Agoseris grandiflora
Agropyron cristatum
Aristida purpurea
Artemisia tridentata wyomingensis
Asclepias tuberosa
Atriplex canescens
Baileya multiradiata
Balsamorhiza sagittata
Bouteloua curtipendula
Bouteloua eriopoda
Bouteloua gracilis
Bromus tectorum
Chaenactis douglasii
Cleomella lutea
Cleomella serrulata
Crepis acuminata
Crepis intermedia
Dalea candida
Dalea ornata
Dalea searlsiae
Elymus elymoides
Elymus trachycaulus
Erigeron pumilus
Erigeron speciosus
Eriogonum umbellatum
Hedysarum boreale
Heliomeris multiflora
Hesperostipa comata
Krascheninnikovia lanata
Leymus cinereus
Leymus triticoides
Linum lewisii
Lomatium dissectum
Lomatium macrocarpum
Lupinus argenteus
Machaeranthera canescens
Pascopyrum smithii
Penstemon palmeri
Phacelia hastata
Pleuraphis jamesii
Poa secunda
Pseudoroegneria spicata
Senna covesii
Sphaeralcea grossulariifolia
Sphaeralcea munroana
Sporobolus airoides
Sporobolus cryptandrus
